gene	y_probability
9606.ENSP00000337915	0.014925891000815913
9606.ENSP00000405330	0.008172102132065285
9606.ENSP00000001146	0.00017248891621274805
9606.ENSP00000285949	5.183285323828628e-05
9606.ENSP00000308032	0.00021835448554764444
9606.ENSP00000362525	0.000647493850294162
9606.ENSP00000362513	0.00012273465655189512
9606.ENSP00000360317	0.012039435505700549
9606.ENSP00000301141	0.0003585324906542903
9606.ENSP00000260682	0.011040447839622974
9606.ENSP00000387683	0.00018945207918925626
9606.ENSP00000305221	0.00011965750751979593
9606.ENSP00000304811	0.008531088630033327
9606.ENSP00000341045	0.00022858215915047883
9606.ENSP00000303174	0.002216459238460264
9606.ENSP00000418532	0.00999365703161732
9606.ENSP00000222982	0.005375974953695957
9606.ENSP00000324648	0.005348260585317436
9606.ENSP00000475028	0.00012273465655189512
9606.ENSP00000334276	0.00010786425567157875
9606.ENSP00000265403	0.00016250454603729521
9606.ENSP00000249750	0.0009662204745126663
9606.ENSP00000342007	0.0006045102518118718
9606.ENSP00000297785	0.002318522078666276
9606.ENSP00000224356	0.0006471406557934194
9606.ENSP00000362508	0.00010992870729170786
9606.ENSP00000343838	0.00010509998501804325
9606.ENSP00000363832	0.0015247539164666645
9606.ENSP00000346768	0.0015516545331272342
9606.ENSP00000362549	0.007418703151077489
9606.ENSP00000332256	9.763063817935895e-05
9606.ENSP00000304845	0.0002718932796431118
9606.ENSP00000320401	0.000222801362939946
9606.ENSP00000480571	0.001449164295836313
9606.ENSP00000311095	0.0005724936094401764
9606.ENSP00000360958	0.00013574764823956543
9606.ENSP00000285979	0.00015740897080948968
9606.ENSP00000251566	0.00014165259089843674
9606.ENSP00000369050	0.0023513732495924586
9606.ENSP00000355995	0.0005592200224942683
9606.ENSP00000218548	0.0007341305420183672
9606.ENSP00000237612	0.019140632773621706
9606.ENSP00000219548	0.0008434518590096068
9606.ENSP00000290649	0.00037458893762486325
9606.ENSP00000360372	0.007370633944701431
9606.ENSP00000217971	0.00011232705564500732
9606.ENSP00000358421	0.0004007613022822835
9606.ENSP00000254521	0.00044056733830224494
9606.ENSP00000419970	0.0003948441666867356
9606.ENSP00000341625	0.0008533771049210323
9606.ENSP00000260970	0.014555927996260782
9606.ENSP00000385523	0.0011380908982837029
9606.ENSP00000199936	8.959732266141751e-05
9606.ENSP00000378408	0.00039356109091445615
9606.ENSP00000295897	0.027676184900038456
9606.ENSP00000242057	0.0021644805758318816
9606.ENSP00000481732	1.4168015418999094e-05
9606.ENSP00000340684	0.00035885673321442955
9606.ENSP00000367309	0.00017466028903376322
9606.ENSP00000381607	0.0019117249648858915
9606.ENSP00000359478	0.01583004170492715
9606.ENSP00000312987	0.00041912541712625173
9606.ENSP00000230053	0.0006882237331467727
9606.ENSP00000380442	0.001434083690576038
9606.ENSP00000333142	0.0008615132585845769
9606.ENSP00000312286	0.0004465575739996155
9606.ENSP00000356436	0.0010039323682332717
9606.ENSP00000396045	0.00023288737400332533
9606.ENSP00000290472	0.0002244199795524648
